,date,visitsTumblr
152,01/06/2011,0
153,02/06/2011,0
154,03/06/2011,0
155,04/06/2011,0
156,05/06/2011,0
157,06/06/2011,0
158,07/06/2011,0
159,08/06/2011,0
160,09/06/2011,0
161,10/06/2011,0
162,11/06/2011,0
163,12/06/2011,0
164,13/06/2011,0
165,14/06/2011,0
166,15/06/2011,0
167,16/06/2011,0
168,17/06/2011,0
169,18/06/2011,0
170,19/06/2011,0
171,20/06/2011,0
172,21/06/2011,0
173,22/06/2011,0
174,23/06/2011,0
175,24/06/2011,0
176,25/06/2011,0
177,26/06/2011,0
178,27/06/2011,0
179,28/06/2011,0
180,29/06/2011,0
181,30/06/2011,0
182,01/07/2011,0
183,02/07/2011,0
184,03/07/2011,0
185,04/07/2011,0
186,05/07/2011,0
187,06/07/2011,0
188,07/07/2011,0
189,08/07/2011,0
190,09/07/2011,0
191,10/07/2011,0
192,11/07/2011,0
193,12/07/2011,0
194,13/07/2011,0
195,14/07/2011,0
196,15/07/2011,0
197,16/07/2011,0
198,17/07/2011,0
199,18/07/2011,0
200,19/07/2011,0
201,20/07/2011,0
202,21/07/2011,0
203,22/07/2011,0
204,23/07/2011,0
205,24/07/2011,0
206,25/07/2011,0
207,26/07/2011,0
208,27/07/2011,0
209,28/07/2011,0
210,29/07/2011,0
211,30/07/2011,0
212,31/07/2011,0
213,01/08/2011,0
214,02/08/2011,0
215,03/08/2011,0
216,04/08/2011,0
217,05/08/2011,0
218,06/08/2011,0
219,07/08/2011,0
220,08/08/2011,0
221,09/08/2011,0
222,10/08/2011,0
223,11/08/2011,0
224,12/08/2011,0
225,13/08/2011,0
226,14/08/2011,0
227,15/08/2011,0
228,16/08/2011,0
229,17/08/2011,0
230,18/08/2011,0
231,19/08/2011,0
232,20/08/2011,0
233,21/08/2011,0
234,22/08/2011,0
235,23/08/2011,0
236,24/08/2011,0
237,25/08/2011,0
238,26/08/2011,0
239,27/08/2011,0
240,28/08/2011,0
241,29/08/2011,0
242,30/08/2011,0
243,31/08/2011,0
244,01/09/2011,0
245,02/09/2011,0
246,03/09/2011,0
247,04/09/2011,0
248,05/09/2011,0
249,06/09/2011,0
250,07/09/2011,0
251,08/09/2011,10
252,09/09/2011,14
253,10/09/2011,10
254,11/09/2011,8
255,12/09/2011,95
256,13/09/2011,44
257,14/09/2011,15
258,15/09/2011,15
259,16/09/2011,34
260,17/09/2011,26
261,18/09/2011,17
262,19/09/2011,63
263,20/09/2011,35
264,21/09/2011,45
265,22/09/2011,50
266,23/09/2011,82
267,24/09/2011,35
268,25/09/2011,29
269,26/09/2011,52
270,27/09/2011,53
271,28/09/2011,118
272,29/09/2011,93
273,30/09/2011,58
274,01/10/2011,56
275,02/10/2011,52
276,03/10/2011,47
277,04/10/2011,250
278,05/10/2011,121
279,06/10/2011,91
280,07/10/2011,93
281,08/10/2011,41
282,09/10/2011,52
283,10/10/2011,580
284,11/10/2011,230
285,12/10/2011,119
286,13/10/2011,99
287,14/10/2011,109
288,15/10/2011,252
289,16/10/2011,97
290,17/10/2011,176
291,18/10/2011,196
292,19/10/2011,145
293,20/10/2011,128
294,21/10/2011,142
295,22/10/2011,81
296,23/10/2011,64
297,24/10/2011,108
298,25/10/2011,68
299,26/10/2011,77
300,27/10/2011,138
301,28/10/2011,89
302,29/10/2011,57
303,30/10/2011,60
304,31/10/2011,69
305,01/11/2011,184
306,02/11/2011,356
307,03/11/2011,118
308,04/11/2011,214
309,05/11/2011,145
310,06/11/2011,114
311,07/11/2011,191
312,08/11/2011,131
313,09/11/2011,157
314,10/11/2011,632
315,11/11/2011,758
